threads,intervalo_x,intervalo_y,resultado,tempo
1,1000,1000,1.3995579745,0.015695
1,1000,10000,1.3995586262,0.122662
1,1000,100000,1.3995586328,1.230081
1,10000,1000,1.3995586262,0.122894
1,10000,10000,1.3995592780,1.184290
1,10000,100000,1.3995592845,11.791946
1,100000,1000,1.3995586328,1.195777
1,100000,10000,1.3995592845,11.759687
1,100000,100000,1.3995592911,120.548590
2,1000,1000,1.3995579745,0.007161
2,1000,10000,1.3995586262,0.068499
2,1000,100000,1.3995586328,0.624153
2,10000,1000,1.3995586262,0.065738
2,10000,10000,1.3995592780,0.653318
2,10000,100000,1.3995592845,6.985853
2,100000,1000,1.3995586328,0.702223
2,100000,10000,1.3995592845,6.568903
2,100000,100000,1.3995592910,66.973293
4,1000,1000,1.3995579745,0.006028
4,1000,10000,1.3995586262,0.038015
4,1000,100000,1.3995586328,0.371860
4,10000,1000,1.3995586262,0.036585
4,10000,10000,1.3995592780,0.417426
4,10000,100000,1.3995592845,3.780567
4,100000,1000,1.3995586328,0.388771
4,100000,10000,1.3995592845,3.825022
4,100000,100000,1.3995592910,39.319412
8,1000,1000,1.3995579745,0.003349
8,1000,10000,1.3995586262,0.036727
8,1000,100000,1.3995586328,0.346465
8,10000,1000,1.3995586262,0.037113
8,10000,10000,1.3995592780,0.343463
8,10000,100000,1.3995592845,3.435688
8,100000,1000,1.3995586328,0.345361
8,100000,10000,1.3995592845,3.528888
8,100000,100000,1.3995592910,37.381635
