threads,intervalo_x,intervalo_y,resultado,tempo
1,1000,1000,1.3995579745,0.013587
1,1000,10000,1.3995586262,0.122359
1,1000,100000,1.3995586328,1.252020
1,10000,1000,1.3995586262,0.124266
1,10000,10000,1.3995592780,1.202544
1,10000,100000,1.3995592845,12.373894
1,100000,1000,1.3995586328,1.207333
1,100000,10000,1.3995592845,12.390482
1,100000,100000,1.3995592911,122.409101
2,1000,1000,1.3995579745,0.008399
2,1000,10000,1.3995586262,0.070297
2,1000,100000,1.3995586328,0.659732
2,10000,1000,1.3995586262,0.070776
2,10000,10000,1.3995592780,0.726410
2,10000,100000,1.3995592845,7.160351
2,100000,1000,1.3995586328,0.749510
2,100000,10000,1.3995592845,6.948975
2,100000,100000,1.3995592910,70.732311
4,1000,1000,1.3995579745,0.006161
4,1000,10000,1.3995586262,0.057175
4,1000,100000,1.3995586328,0.495936
4,10000,1000,1.3995586262,0.059143
4,10000,10000,1.3995592780,0.434334
4,10000,100000,1.3995592845,4.247464
4,100000,1000,1.3995586328,0.392178
4,100000,10000,1.3995592845,4.062465
4,100000,100000,1.3995592910,42.460479
8,1000,1000,1.3995579745,0.003590
8,1000,10000,1.3995586262,0.050070
8,1000,100000,1.3995586328,0.354536
8,10000,1000,1.3995586262,0.037529
8,10000,10000,1.3995592780,0.389905
8,10000,100000,1.3995592845,3.766141
8,100000,1000,1.3995586328,0.364732
8,100000,10000,1.3995592845,3.911936
8,100000,100000,1.3995592910,37.815267
