threads,intervalo_x,intervalo_y,resultado,tempo
1,1000,1000,1.3995579745,0.013733
1,1000,10000,1.3995586262,0.122749
1,1000,100000,1.3995586328,1.273229
1,10000,1000,1.3995586262,0.123372
1,10000,10000,1.3995592780,1.192441
1,10000,100000,1.3995592845,11.843620
1,100000,1000,1.3995586328,1.193521
1,100000,10000,1.3995592845,11.854853
1,100000,100000,1.3995592911,120.013936
2,1000,1000,1.3995579745,0.007160
2,1000,10000,1.3995586262,0.068980
2,1000,100000,1.3995586328,0.662569
2,10000,1000,1.3995586262,0.067286
2,10000,10000,1.3995592780,0.657128
2,10000,100000,1.3995592845,6.497158
2,100000,1000,1.3995586328,0.662156
2,100000,10000,1.3995592845,6.510136
2,100000,100000,1.3995592910,66.987927
4,1000,1000,1.3995579745,0.006007
4,1000,10000,1.3995586262,0.037495
4,1000,100000,1.3995586328,0.381999
4,10000,1000,1.3995586262,0.059094
4,10000,10000,1.3995592780,0.373970
4,10000,100000,1.3995592845,3.767158
4,100000,1000,1.3995586328,0.419632
4,100000,10000,1.3995592845,3.824772
4,100000,100000,1.3995592910,39.568717
8,1000,1000,1.3995579745,0.003219
8,1000,10000,1.3995586262,0.043774
8,1000,100000,1.3995586328,0.365724
8,10000,1000,1.3995586262,0.053714
8,10000,10000,1.3995592780,0.354157
8,10000,100000,1.3995592845,3.482306
8,100000,1000,1.3995586328,0.357060
8,100000,10000,1.3995592845,3.513783
8,100000,100000,1.3995592910,37.000779
