threads,intervalo_x,intervalo_y,resultado,tempo
1,1000,1000,1.3995579745,0.013353
1,1000,10000,1.3995586262,0.126216
1,1000,100000,1.3995586328,1.237308
1,10000,1000,1.3995586262,0.142321
1,10000,10000,1.3995592780,1.198918
1,10000,100000,1.3995592845,11.844732
1,100000,1000,1.3995586328,1.193639
1,100000,10000,1.3995592845,11.753484
1,100000,100000,1.3995592911,117.279610
2,1000,1000,1.3995579745,0.007001
2,1000,10000,1.3995586262,0.069097
2,1000,100000,1.3995586328,0.655892
2,10000,1000,1.3995586262,0.067736
2,10000,10000,1.3995592780,0.702916
2,10000,100000,1.3995592845,6.580065
2,100000,1000,1.3995586328,0.656422
2,100000,10000,1.3995592845,6.566102
2,100000,100000,1.3995592910,68.254980
4,1000,1000,1.3995579745,0.006133
4,1000,10000,1.3995586262,0.054508
4,1000,100000,1.3995586328,0.522218
4,10000,1000,1.3995586262,0.059106
4,10000,10000,1.3995592780,0.396591
4,10000,100000,1.3995592845,4.098856
4,100000,1000,1.3995586328,0.403914
4,100000,10000,1.3995592845,4.148351
4,100000,100000,1.3995592910,41.874768
8,1000,1000,1.3995579745,0.003215
8,1000,10000,1.3995586262,0.042461
8,1000,100000,1.3995586328,0.358552
8,10000,1000,1.3995586262,0.035250
8,10000,10000,1.3995592780,0.357066
8,10000,100000,1.3995592845,3.486458
8,100000,1000,1.3995586328,0.356567
8,100000,10000,1.3995592845,3.495027
8,100000,100000,1.3995592910,38.204965
