threads,intervalo_x,intervalo_y,resultado,tempo
1,1000,1000,1.3995579745,0.013527
1,1000,10000,1.3995586262,0.121218
1,1000,100000,1.3995586328,1.284214
1,10000,1000,1.3995586262,0.128576
1,10000,10000,1.3995592780,1.184497
1,10000,100000,1.3995592845,12.316750
1,100000,1000,1.3995586328,1.212378
1,100000,10000,1.3995592845,11.841076
1,100000,100000,1.3995592911,122.004896
2,1000,1000,1.3995579745,0.007502
2,1000,10000,1.3995586262,0.111886
2,1000,100000,1.3995586328,0.675475
2,10000,1000,1.3995586262,0.068895
2,10000,10000,1.3995592780,0.669455
2,10000,100000,1.3995592845,6.648748
2,100000,1000,1.3995586328,0.668259
2,100000,10000,1.3995592845,6.777602
2,100000,100000,1.3995592910,71.881563
4,1000,1000,1.3995579745,0.005568
4,1000,10000,1.3995586262,0.056856
4,1000,100000,1.3995586328,0.521546
4,10000,1000,1.3995586262,0.037399
4,10000,10000,1.3995592780,0.509517
4,10000,100000,1.3995592845,4.052353
4,100000,1000,1.3995586328,0.508686
4,100000,10000,1.3995592845,4.293429
4,100000,100000,1.3995592910,43.088338
8,1000,1000,1.3995579745,0.003255
8,1000,10000,1.3995586262,0.042508
8,1000,100000,1.3995586328,0.385084
8,10000,1000,1.3995586262,0.055758
8,10000,10000,1.3995592780,0.424774
8,10000,100000,1.3995592845,3.627997
8,100000,1000,1.3995586328,0.361391
8,100000,10000,1.3995592845,3.732751
8,100000,100000,1.3995592910,37.311257
