threads,intervalo_x,intervalo_y,resultado,tempo
1,1000,1000,1.3995579745,0.013362
1,1000,10000,1.3995586262,0.120676
1,1000,100000,1.3995586328,1.292500
1,10000,1000,1.3995586262,0.122868
1,10000,10000,1.3995592780,1.241182
1,10000,100000,1.3995592845,11.767693
1,100000,1000,1.3995586328,1.188309
1,100000,10000,1.3995592845,11.738871
1,100000,100000,1.3995592911,118.627046
2,1000,1000,1.3995579745,0.007044
2,1000,10000,1.3995586262,0.069331
2,1000,100000,1.3995586328,0.659722
2,10000,1000,1.3995586262,0.065978
2,10000,10000,1.3995592780,0.656026
2,10000,100000,1.3995592845,6.483600
2,100000,1000,1.3995586328,0.652259
2,100000,10000,1.3995592845,6.628065
2,100000,100000,1.3995592910,66.511517
4,1000,1000,1.3995579745,0.005869
4,1000,10000,1.3995586262,0.054694
4,1000,100000,1.3995586328,0.420521
4,10000,1000,1.3995586262,0.036450
4,10000,10000,1.3995592780,0.396928
4,10000,100000,1.3995592845,3.737522
4,100000,1000,1.3995586328,0.373983
4,100000,10000,1.3995592845,3.788614
4,100000,100000,1.3995592910,38.890785
8,1000,1000,1.3995579745,0.003278
8,1000,10000,1.3995586262,0.039857
8,1000,100000,1.3995586328,0.337808
8,10000,1000,1.3995586262,0.040729
8,10000,10000,1.3995592780,0.342232
8,10000,100000,1.3995592845,3.515736
8,100000,1000,1.3995586328,0.353549
8,100000,10000,1.3995592845,3.471112
8,100000,100000,1.3995592910,35.384027
