threads,intervalo_x,intervalo_y,resultado,tempo
1,1000,1000,1.3995579745,0.034936
1,1000,10000,1.3995586262,0.337963
1,1000,100000,1.3995586328,3.087643
1,10000,1000,1.3995586262,0.303862
1,10000,10000,1.3995592780,3.028610
1,10000,100000,1.3995592845,22.831834
1,100000,1000,1.3995586328,1.191968
1,100000,10000,1.3995592845,11.973389
1,100000,100000,1.3995592911,117.440329
2,1000,1000,1.3995579745,0.007093
2,1000,10000,1.3995586262,0.080687
2,1000,100000,1.3995586328,0.674030
2,10000,1000,1.3995586262,0.068299
2,10000,10000,1.3995592780,0.661185
2,10000,100000,1.3995592845,6.708674
2,100000,1000,1.3995586328,0.677965
2,100000,10000,1.3995592845,6.683015
2,100000,100000,1.3995592910,65.332838
4,1000,1000,1.3995579745,0.036031
4,1000,10000,1.3995586262,0.309938
4,1000,100000,1.3995586328,2.421603
4,10000,1000,1.3995586262,0.065581
4,10000,10000,1.3995592780,0.468267
4,10000,100000,1.3995592845,4.243397
4,100000,1000,1.3995586328,0.426673
4,100000,10000,1.3995592845,4.102412
4,100000,100000,1.3995592910,39.388181
8,1000,1000,1.3995579745,0.027777
8,1000,10000,1.3995586262,0.203903
8,1000,100000,1.3995586328,0.373444
8,10000,1000,1.3995586262,0.065449
8,10000,10000,1.3995592780,0.387785
8,10000,100000,1.3995592845,3.606348
8,100000,1000,1.3995586328,0.437325
8,100000,10000,1.3995592845,3.634065
8,100000,100000,1.3995592910,34.849284
