threads,intervalo_x,intervalo_y,resultado,tempo
1,1000,1000,1.3995579745,0.014004
1,1000,10000,1.3995586262,0.122565
1,1000,100000,1.3995586328,1.264774
1,10000,1000,1.3995586262,0.127626
1,10000,10000,1.3995592780,1.190913
1,10000,100000,1.3995592845,11.740873
1,100000,1000,1.3995586328,1.211437
1,100000,10000,1.3995592845,11.891896
1,100000,100000,1.3995592911,117.238844
2,1000,1000,1.3995579745,0.007181
2,1000,10000,1.3995586262,0.068806
2,1000,100000,1.3995586328,0.647950
2,10000,1000,1.3995586262,0.065623
2,10000,10000,1.3995592780,0.660301
2,10000,100000,1.3995592845,6.560029
2,100000,1000,1.3995586328,0.658186
2,100000,10000,1.3995592845,6.522449
2,100000,100000,1.3995592910,66.678631
4,1000,1000,1.3995579745,0.006003
4,1000,10000,1.3995586262,0.056305
4,1000,100000,1.3995586328,0.383961
4,10000,1000,1.3995586262,0.038493
4,10000,10000,1.3995592780,0.393349
4,10000,100000,1.3995592845,3.922007
4,100000,1000,1.3995586328,0.446042
4,100000,10000,1.3995592845,3.948607
4,100000,100000,1.3995592910,40.429309
8,1000,1000,1.3995579745,0.003209
8,1000,10000,1.3995586262,0.053232
8,1000,100000,1.3995586328,0.408696
8,10000,1000,1.3995586262,0.035887
8,10000,10000,1.3995592780,0.379450
8,10000,100000,1.3995592845,3.580050
8,100000,1000,1.3995586328,0.370935
8,100000,10000,1.3995592845,3.832262
8,100000,100000,1.3995592910,39.830032
