threads,intervalo_x,intervalo_y,resultado,tempo
1,1000,1000,1.3995579745,0.016195
1,1000,10000,1.3995586262,0.123455
1,1000,100000,1.3995586328,1.294913
1,10000,1000,1.3995586262,0.131737
1,10000,10000,1.3995592780,1.199754
1,10000,100000,1.3995592845,12.171804
1,100000,1000,1.3995586328,1.219994
1,100000,10000,1.3995592845,12.711620
1,100000,100000,1.3995592911,126.883275
2,1000,1000,1.3995579745,0.011661
2,1000,10000,1.3995586262,0.115821
2,1000,100000,1.3995586328,0.749071
2,10000,1000,1.3995586262,0.069579
2,10000,10000,1.3995592780,0.688367
2,10000,100000,1.3995592845,7.250329
2,100000,1000,1.3995586328,0.730201
2,100000,10000,1.3995592845,7.529317
2,100000,100000,1.3995592910,70.603168
4,1000,1000,1.3995579745,0.006069
4,1000,10000,1.3995586262,0.056544
4,1000,100000,1.3995586328,0.407442
4,10000,1000,1.3995586262,0.036472
4,10000,10000,1.3995592780,0.413726
4,10000,100000,1.3995592845,3.942662
4,100000,1000,1.3995586328,0.395720
4,100000,10000,1.3995592845,4.040333
4,100000,100000,1.3995592910,40.776303
8,1000,1000,1.3995579745,0.003220
8,1000,10000,1.3995586262,0.042870
8,1000,100000,1.3995586328,0.357692
8,10000,1000,1.3995586262,0.036123
8,10000,10000,1.3995592780,0.364804
8,10000,100000,1.3995592845,3.733236
8,100000,1000,1.3995586328,0.370119
8,100000,10000,1.3995592845,4.202071
8,100000,100000,1.3995592910,39.764179
