threads,intervalo_x,intervalo_y,resultado,tempo
1,1000,1000,1.3995579745,0.035479
1,1000,10000,1.3995586262,0.193031
1,1000,100000,1.3995586328,1.641814
1,10000,1000,1.3995586262,0.164844
1,10000,10000,1.3995592780,1.616710
1,10000,100000,1.3995592845,16.025550
1,100000,1000,1.3995586328,1.625517
1,100000,10000,1.3995592845,16.342036
1,100000,100000,1.3995592911,163.943096
2,1000,1000,1.3995579745,0.009699
2,1000,10000,1.3995586262,0.097587
2,1000,100000,1.3995586328,0.840634
2,10000,1000,1.3995586262,0.096289
2,10000,10000,1.3995592780,0.853941
2,10000,100000,1.3995592845,8.437349
2,100000,1000,1.3995586328,0.853670
2,100000,10000,1.3995592845,8.483046
2,100000,100000,1.3995592910,86.399696
4,1000,1000,1.3995579745,0.007950
4,1000,10000,1.3995586262,0.064169
4,1000,100000,1.3995586328,0.480294
4,10000,1000,1.3995586262,0.074595
4,10000,10000,1.3995592780,0.447575
4,10000,100000,1.3995592845,4.372128
4,100000,1000,1.3995586328,0.480112
4,100000,10000,1.3995592845,4.432958
4,100000,100000,1.3995592910,45.797137
8,1000,1000,1.3995579745,0.013066
8,1000,10000,1.3995586262,0.068666
8,1000,100000,1.3995586328,0.399874
8,10000,1000,1.3995586262,0.061641
8,10000,10000,1.3995592780,0.387507
8,10000,100000,1.3995592845,3.787916
8,100000,1000,1.3995586328,0.400727
8,100000,10000,1.3995592845,3.922928
8,100000,100000,1.3995592910,42.291566
