threads,intervalo_x,intervalo_y,resultado,tempo
1,1000,1000,1.3995579745,0.013251
1,1000,10000,1.3995586262,0.157592
1,1000,100000,1.3995586328,1.262696
1,10000,1000,1.3995586262,0.123247
1,10000,10000,1.3995592780,1.189801
1,10000,100000,1.3995592845,12.051999
1,100000,1000,1.3995586328,1.266670
1,100000,10000,1.3995592845,12.224363
1,100000,100000,1.3995592911,122.321194
2,1000,1000,1.3995579745,0.007718
2,1000,10000,1.3995586262,0.067220
2,1000,100000,1.3995586328,0.661116
2,10000,1000,1.3995586262,0.069679
2,10000,10000,1.3995592780,0.657181
2,10000,100000,1.3995592845,6.625009
2,100000,1000,1.3995586328,0.659568
2,100000,10000,1.3995592845,6.545483
2,100000,100000,1.3995592910,68.358335
4,1000,1000,1.3995579745,0.003732
4,1000,10000,1.3995586262,0.059053
4,1000,100000,1.3995586328,0.414707
4,10000,1000,1.3995586262,0.052478
4,10000,10000,1.3995592780,0.407681
4,10000,100000,1.3995592845,3.982480
4,100000,1000,1.3995586328,0.388955
4,100000,10000,1.3995592845,4.087668
4,100000,100000,1.3995592910,42.105497
8,1000,1000,1.3995579745,0.003221
8,1000,10000,1.3995586262,0.042813
8,1000,100000,1.3995586328,0.351216
8,10000,1000,1.3995586262,0.041516
8,10000,10000,1.3995592780,0.365499
8,10000,100000,1.3995592845,3.533044
8,100000,1000,1.3995586328,0.360023
8,100000,10000,1.3995592845,3.641804
8,100000,100000,1.3995592910,40.433177
