threads,intervalo_x,intervalo_y,resultado,tempo
1,1000,1000,1.3995579745,0.026785
1,1000,10000,1.3995586262,0.187644
1,1000,100000,1.3995586328,1.651303
1,10000,1000,1.3995586262,0.181175
1,10000,10000,1.3995592780,1.629463
1,10000,100000,1.3995592845,16.240151
1,100000,1000,1.3995586328,1.649429
1,100000,10000,1.3995592845,16.443704
1,100000,100000,1.3995592911,161.368261
2,1000,1000,1.3995579745,0.009232
2,1000,10000,1.3995586262,0.086127
2,1000,100000,1.3995586328,0.836252
2,10000,1000,1.3995586262,0.085367
2,10000,10000,1.3995592780,0.835858
2,10000,100000,1.3995592845,8.620540
2,100000,1000,1.3995586328,0.983560
2,100000,10000,1.3995592845,8.773212
2,100000,100000,1.3995592910,85.768559
4,1000,1000,1.3995579745,0.005037
4,1000,10000,1.3995586262,0.073059
4,1000,100000,1.3995586328,0.486939
4,10000,1000,1.3995586262,0.048452
4,10000,10000,1.3995592780,0.461034
4,10000,100000,1.3995592845,4.417396
4,100000,1000,1.3995586328,0.450665
4,100000,10000,1.3995592845,4.417118
4,100000,100000,1.3995592910,47.276228
8,1000,1000,1.3995579745,0.014679
8,1000,10000,1.3995586262,0.066591
8,1000,100000,1.3995586328,0.397037
8,10000,1000,1.3995586262,0.074556
8,10000,10000,1.3995592780,0.482442
8,10000,100000,1.3995592845,3.769228
8,100000,1000,1.3995586328,0.402165
8,100000,10000,1.3995592845,3.824078
8,100000,100000,1.3995592910,41.897382
