threads,intervalo_x,intervalo_y,resultado,tempo
1,1000,1000,1.3995579745,0.028042
1,1000,10000,1.3995586262,0.187644
1,1000,100000,1.3995586328,1.613562
1,10000,1000,1.3995586262,0.182737
1,10000,10000,1.3995592780,1.625704
1,10000,100000,1.3995592845,15.880615
1,100000,1000,1.3995586328,1.618753
1,100000,10000,1.3995592845,15.898336
1,100000,100000,1.3995592911,158.731863
2,1000,1000,1.3995579745,0.010530
2,1000,10000,1.3995586262,0.085425
2,1000,100000,1.3995586328,0.834624
2,10000,1000,1.3995586262,0.097124
2,10000,10000,1.3995592780,0.835822
2,10000,100000,1.3995592845,8.351946
2,100000,1000,1.3995586328,0.852058
2,100000,10000,1.3995592845,8.381891
2,100000,100000,1.3995592910,83.355989
4,1000,1000,1.3995579745,0.005726
4,1000,10000,1.3995586262,0.080645
4,1000,100000,1.3995586328,0.444929
4,10000,1000,1.3995586262,0.063880
4,10000,10000,1.3995592780,0.464704
4,10000,100000,1.3995592845,4.330802
4,100000,1000,1.3995586328,0.466945
4,100000,10000,1.3995592845,4.354953
4,100000,100000,1.3995592910,44.008630
8,1000,1000,1.3995579745,0.004206
8,1000,10000,1.3995586262,0.049793
8,1000,100000,1.3995586328,0.379986
8,10000,1000,1.3995586262,0.046560
8,10000,10000,1.3995592780,0.373760
8,10000,100000,1.3995592845,3.682865
8,100000,1000,1.3995586328,0.371851
8,100000,10000,1.3995592845,3.721891
8,100000,100000,1.3995592910,41.738579
