threads,intervalo_x,intervalo_y,resultado,tempo
1,1000,1000,1.3995579745,0.015485
1,1000,10000,1.3995586262,0.122121
1,1000,100000,1.3995586328,1.233268
1,10000,1000,1.3995586262,0.123599
1,10000,10000,1.3995592780,1.197050
1,10000,100000,1.3995592845,11.794465
1,100000,1000,1.3995586328,1.207425
1,100000,10000,1.3995592845,11.759487
1,100000,100000,1.3995592911,121.413721
2,1000,1000,1.3995579745,0.007049
2,1000,10000,1.3995586262,0.068351
2,1000,100000,1.3995586328,0.672237
2,10000,1000,1.3995586262,0.069222
2,10000,10000,1.3995592780,0.644802
2,10000,100000,1.3995592845,6.582178
2,100000,1000,1.3995586328,0.652649
2,100000,10000,1.3995592845,7.137079
2,100000,100000,1.3995592910,68.288349
4,1000,1000,1.3995579745,0.006048
4,1000,10000,1.3995586262,0.061586
4,1000,100000,1.3995586328,0.428646
4,10000,1000,1.3995586262,0.056823
4,10000,10000,1.3995592780,0.399374
4,10000,100000,1.3995592845,3.921111
4,100000,1000,1.3995586328,0.382819
4,100000,10000,1.3995592845,4.039635
4,100000,100000,1.3995592910,39.188038
8,1000,1000,1.3995579745,0.003192
8,1000,10000,1.3995586262,0.041816
8,1000,100000,1.3995586328,0.341312
8,10000,1000,1.3995586262,0.041388
8,10000,10000,1.3995592780,0.360782
8,10000,100000,1.3995592845,3.459604
8,100000,1000,1.3995586328,0.359124
8,100000,10000,1.3995592845,3.518867
8,100000,100000,1.3995592910,35.594495
