threads,intervalo_x,intervalo_y,resultado,tempo
1,1000,1000,1.3995579745,0.036964
1,1000,10000,1.3995586262,0.187562
1,1000,100000,1.3995586328,1.647912
1,10000,1000,1.3995586262,0.166769
1,10000,10000,1.3995592780,1.627770
1,10000,100000,1.3995592845,16.160458
1,100000,1000,1.3995586328,1.622652
1,100000,10000,1.3995592845,15.919043
1,100000,100000,1.3995592911,158.607148
2,1000,1000,1.3995579745,0.009067
2,1000,10000,1.3995586262,0.113555
2,1000,100000,1.3995586328,0.837126
2,10000,1000,1.3995586262,0.094976
2,10000,10000,1.3995592780,0.843343
2,10000,100000,1.3995592845,8.364298
2,100000,1000,1.3995586328,0.848335
2,100000,10000,1.3995592845,8.366155
2,100000,100000,1.3995592910,83.315094
4,1000,1000,1.3995579745,0.007805
4,1000,10000,1.3995586262,0.085413
4,1000,100000,1.3995586328,0.443819
4,10000,1000,1.3995586262,0.063082
4,10000,10000,1.3995592780,0.435309
4,10000,100000,1.3995592845,4.430993
4,100000,1000,1.3995586328,0.448813
4,100000,10000,1.3995592845,4.421218
4,100000,100000,1.3995592910,44.193837
8,1000,1000,1.3995579745,0.004592
8,1000,10000,1.3995586262,0.057018
8,1000,100000,1.3995586328,0.378301
8,10000,1000,1.3995586262,0.052296
8,10000,10000,1.3995592780,0.376876
8,10000,100000,1.3995592845,3.636744
8,100000,1000,1.3995586328,0.395907
8,100000,10000,1.3995592845,3.751598
8,100000,100000,1.3995592910,40.761144
