threads,intervalo_x,intervalo_y,resultado,tempo
1,1000,1000,1.3995579745,0.017421
1,1000,10000,1.3995586262,0.189701
1,1000,100000,1.3995586328,1.680138
1,10000,1000,1.3995586262,0.160811
1,10000,10000,1.3995592780,1.649076
1,10000,100000,1.3995592845,16.235915
1,100000,1000,1.3995586328,1.662394
1,100000,10000,1.3995592845,16.423325
1,100000,100000,1.3995592911,160.427730
2,1000,1000,1.3995579745,0.009723
2,1000,10000,1.3995586262,0.087765
2,1000,100000,1.3995586328,0.835120
2,10000,1000,1.3995586262,0.101494
2,10000,10000,1.3995592780,0.838338
2,10000,100000,1.3995592845,8.342163
2,100000,1000,1.3995586328,0.858539
2,100000,10000,1.3995592845,8.344659
2,100000,100000,1.3995592910,83.437499
4,1000,1000,1.3995579745,0.007893
4,1000,10000,1.3995586262,0.099035
4,1000,100000,1.3995586328,0.437287
4,10000,1000,1.3995586262,0.045369
4,10000,10000,1.3995592780,0.467214
4,10000,100000,1.3995592845,4.332117
4,100000,1000,1.3995586328,0.464678
4,100000,10000,1.3995592845,4.401462
4,100000,100000,1.3995592910,44.222429
8,1000,1000,1.3995579745,0.004334
8,1000,10000,1.3995586262,0.047455
8,1000,100000,1.3995586328,0.376596
8,10000,1000,1.3995586262,0.041241
8,10000,10000,1.3995592780,0.369424
8,10000,100000,1.3995592845,3.749687
8,100000,1000,1.3995586328,0.374398
8,100000,10000,1.3995592845,3.683971
8,100000,100000,1.3995592910,40.652935
