threads,intervalo_x,intervalo_y,resultado,tempo
1,1000,1000,1.3995579745,0.013507
1,1000,10000,1.3995586262,0.127061
1,1000,100000,1.3995586328,1.420538
1,10000,1000,1.3995586262,0.125920
1,10000,10000,1.3995592780,1.206193
1,10000,100000,1.3995592845,11.854559
1,100000,1000,1.3995586328,2.833080
1,100000,10000,1.3995592845,15.910539
1,100000,100000,1.3995592911,119.258621
2,1000,1000,1.3995579745,0.006716
2,1000,10000,1.3995586262,0.068754
2,1000,100000,1.3995586328,0.655679
2,10000,1000,1.3995586262,0.069643
2,10000,10000,1.3995592780,0.692464
2,10000,100000,1.3995592845,6.561866
2,100000,1000,1.3995586328,0.680808
2,100000,10000,1.3995592845,6.569954
2,100000,100000,1.3995592910,74.872598
4,1000,1000,1.3995579745,0.005991
4,1000,10000,1.3995586262,0.149808
4,1000,100000,1.3995586328,0.536000
4,10000,1000,1.3995586262,0.056778
4,10000,10000,1.3995592780,0.422548
4,10000,100000,1.3995592845,4.482506
4,100000,1000,1.3995586328,0.524907
4,100000,10000,1.3995592845,4.333963
4,100000,100000,1.3995592910,41.790285
8,1000,1000,1.3995579745,0.027398
8,1000,10000,1.3995586262,0.200348
8,1000,100000,1.3995586328,0.450049
8,10000,1000,1.3995586262,0.079707
8,10000,10000,1.3995592780,0.364807
8,10000,100000,1.3995592845,3.922088
8,100000,1000,1.3995586328,0.407192
8,100000,10000,1.3995592845,3.813498
8,100000,100000,1.3995592910,36.698025
