threads,intervalo_x,intervalo_y,resultado,tempo
1,1000,1000,1.3995579745,0.013474
1,1000,10000,1.3995586262,0.123155
1,1000,100000,1.3995586328,1.223973
1,10000,1000,1.3995586262,0.125482
1,10000,10000,1.3995592780,1.193135
1,10000,100000,1.3995592845,11.778343
1,100000,1000,1.3995586328,1.198277
1,100000,10000,1.3995592845,11.787431
1,100000,100000,1.3995592911,121.379308
2,1000,1000,1.3995579745,0.007822
2,1000,10000,1.3995586262,0.071456
2,1000,100000,1.3995586328,0.712143
2,10000,1000,1.3995586262,0.070996
2,10000,10000,1.3995592780,0.697049
2,10000,100000,1.3995592845,6.839767
2,100000,1000,1.3995586328,0.727981
2,100000,10000,1.3995592845,7.392873
2,100000,100000,1.3995592910,66.884611
4,1000,1000,1.3995579745,0.003697
4,1000,10000,1.3995586262,0.058858
4,1000,100000,1.3995586328,0.504978
4,10000,1000,1.3995586262,0.037399
4,10000,10000,1.3995592780,0.426570
4,10000,100000,1.3995592845,3.872315
4,100000,1000,1.3995586328,0.381031
4,100000,10000,1.3995592845,3.922848
4,100000,100000,1.3995592910,40.951864
8,1000,1000,1.3995579745,0.003292
8,1000,10000,1.3995586262,0.039745
8,1000,100000,1.3995586328,0.378418
8,10000,1000,1.3995586262,0.038498
8,10000,10000,1.3995592780,0.360748
8,10000,100000,1.3995592845,3.755501
8,100000,1000,1.3995586328,0.387773
8,100000,10000,1.3995592845,3.966818
8,100000,100000,1.3995592910,37.965698
