threads,intervalo_x,intervalo_y,resultado,tempo
1,1000,1000,1.3995579745,0.036003
1,1000,10000,1.3995586262,0.177716
1,1000,100000,1.3995586328,1.614555
1,10000,1000,1.3995586262,0.160507
1,10000,10000,1.3995592780,1.595083
1,10000,100000,1.3995592845,15.911521
1,100000,1000,1.3995586328,1.620209
1,100000,10000,1.3995592845,15.908743
1,100000,100000,1.3995592911,158.837751
2,1000,1000,1.3995579745,0.010379
2,1000,10000,1.3995586262,0.106427
2,1000,100000,1.3995586328,0.835052
2,10000,1000,1.3995586262,0.106337
2,10000,10000,1.3995592780,0.836349
2,10000,100000,1.3995592845,8.354547
2,100000,1000,1.3995586328,0.846240
2,100000,10000,1.3995592845,8.356751
2,100000,100000,1.3995592910,83.438991
4,1000,1000,1.3995579745,0.005685
4,1000,10000,1.3995586262,0.063270
4,1000,100000,1.3995586328,0.476773
4,10000,1000,1.3995586262,0.107831
4,10000,10000,1.3995592780,0.484461
4,10000,100000,1.3995592845,4.342996
4,100000,1000,1.3995586328,0.454080
4,100000,10000,1.3995592845,4.341141
4,100000,100000,1.3995592910,44.054451
8,1000,1000,1.3995579745,0.007969
8,1000,10000,1.3995586262,0.088754
8,1000,100000,1.3995586328,0.379549
8,10000,1000,1.3995586262,0.044378
8,10000,10000,1.3995592780,0.370695
8,10000,100000,1.3995592845,3.629290
8,100000,1000,1.3995586328,0.384590
8,100000,10000,1.3995592845,3.678607
8,100000,100000,1.3995592910,40.237810
