threads,intervalo_x,intervalo_y,resultado,tempo
1,1000,1000,1.3995579745,0.013351
1,1000,10000,1.3995586262,0.125239
1,1000,100000,1.3995586328,1.269801
1,10000,1000,1.3995586262,0.126222
1,10000,10000,1.3995592780,1.225884
1,10000,100000,1.3995592845,11.821604
1,100000,1000,1.3995586328,1.194486
1,100000,10000,1.3995592845,11.868545
1,100000,100000,1.3995592911,117.816599
2,1000,1000,1.3995579745,0.006762
2,1000,10000,1.3995586262,0.068652
2,1000,100000,1.3995586328,0.644292
2,10000,1000,1.3995586262,0.069317
2,10000,10000,1.3995592780,0.703855
2,10000,100000,1.3995592845,7.177616
2,100000,1000,1.3995586328,0.734700
2,100000,10000,1.3995592845,6.590454
2,100000,100000,1.3995592910,67.195641
4,1000,1000,1.3995579745,0.006000
4,1000,10000,1.3995586262,0.058009
4,1000,100000,1.3995586328,0.403461
4,10000,1000,1.3995586262,0.058700
4,10000,10000,1.3995592780,0.395517
4,10000,100000,1.3995592845,3.853349
4,100000,1000,1.3995586328,0.395187
4,100000,10000,1.3995592845,3.928024
4,100000,100000,1.3995592910,42.360080
8,1000,1000,1.3995579745,0.003186
8,1000,10000,1.3995586262,0.051342
8,1000,100000,1.3995586328,0.350766
8,10000,1000,1.3995586262,0.037486
8,10000,10000,1.3995592780,0.359011
8,10000,100000,1.3995592845,3.590501
8,100000,1000,1.3995586328,0.367142
8,100000,10000,1.3995592845,3.775260
8,100000,100000,1.3995592910,39.148911
