threads,intervalo_x,intervalo_y,resultado,tempo
1,1000,1000,1.3995579745,0.024322
1,1000,10000,1.3995586262,0.186673
1,1000,100000,1.3995586328,1.624180
1,10000,1000,1.3995586262,0.160713
1,10000,10000,1.3995592780,1.588785
1,10000,100000,1.3995592845,15.859674
1,100000,1000,1.3995586328,1.620109
1,100000,10000,1.3995592845,15.883795
1,100000,100000,1.3995592911,158.488999
2,1000,1000,1.3995579745,0.009068
2,1000,10000,1.3995586262,0.086248
2,1000,100000,1.3995586328,0.835562
2,10000,1000,1.3995586262,0.085609
2,10000,10000,1.3995592780,0.837058
2,10000,100000,1.3995592845,8.356438
2,100000,1000,1.3995586328,0.838026
2,100000,10000,1.3995592845,8.370168
2,100000,100000,1.3995592910,83.378633
4,1000,1000,1.3995579745,0.005292
4,1000,10000,1.3995586262,0.066202
4,1000,100000,1.3995586328,0.440979
4,10000,1000,1.3995586262,0.048187
4,10000,10000,1.3995592780,0.477473
4,10000,100000,1.3995592845,4.417629
4,100000,1000,1.3995586328,0.446457
4,100000,10000,1.3995592845,4.362785
4,100000,100000,1.3995592910,44.000290
8,1000,1000,1.3995579745,0.004532
8,1000,10000,1.3995586262,0.075327
8,1000,100000,1.3995586328,0.380057
8,10000,1000,1.3995586262,0.048622
8,10000,10000,1.3995592780,0.375150
8,10000,100000,1.3995592845,3.697157
8,100000,1000,1.3995586328,0.385828
8,100000,10000,1.3995592845,3.644679
8,100000,100000,1.3995592910,40.979427
