threads,intervalo_x,intervalo_y,resultado,tempo
1,1000,1000,1.3995579745,0.013895
1,1000,10000,1.3995586262,0.124194
1,1000,100000,1.3995586328,1.248689
1,10000,1000,1.3995586262,0.129493
1,10000,10000,1.3995592780,1.194075
1,10000,100000,1.3995592845,12.150317
1,100000,1000,1.3995586328,1.225316
1,100000,10000,1.3995592845,12.280393
1,100000,100000,1.3995592911,122.149776
2,1000,1000,1.3995579745,0.007019
2,1000,10000,1.3995586262,0.070048
2,1000,100000,1.3995586328,0.666684
2,10000,1000,1.3995586262,0.069704
2,10000,10000,1.3995592780,0.668878
2,10000,100000,1.3995592845,7.418646
2,100000,1000,1.3995586328,0.753697
2,100000,10000,1.3995592845,7.017048
2,100000,100000,1.3995592910,71.847033
4,1000,1000,1.3995579745,0.005996
4,1000,10000,1.3995586262,0.059854
4,1000,100000,1.3995586328,0.383762
4,10000,1000,1.3995586262,0.069028
4,10000,10000,1.3995592780,0.401933
4,10000,100000,1.3995592845,3.919953
4,100000,1000,1.3995586328,0.407473
4,100000,10000,1.3995592845,4.348997
4,100000,100000,1.3995592910,43.624284
8,1000,1000,1.3995579745,0.013663
8,1000,10000,1.3995586262,0.049184
8,1000,100000,1.3995586328,0.428185
8,10000,1000,1.3995586262,0.048704
8,10000,10000,1.3995592780,0.438492
8,10000,100000,1.3995592845,3.642327
8,100000,1000,1.3995586328,0.388881
8,100000,10000,1.3995592845,3.770923
8,100000,100000,1.3995592910,40.015657
