threads,intervalo_x,intervalo_y,resultado,tempo
1,1000,1000,1.3995579745,0.013097
1,1000,10000,1.3995586262,0.122502
1,1000,100000,1.3995586328,1.235851
1,10000,1000,1.3995586262,0.124343
1,10000,10000,1.3995592780,1.202473
1,10000,100000,1.3995592845,11.804096
1,100000,1000,1.3995586328,1.189333
1,100000,10000,1.3995592845,11.944191
1,100000,100000,1.3995592911,119.481281
2,1000,1000,1.3995579745,0.007119
2,1000,10000,1.3995586262,0.068632
2,1000,100000,1.3995586328,0.659430
2,10000,1000,1.3995586262,0.065912
2,10000,10000,1.3995592780,0.654570
2,10000,100000,1.3995592845,6.591638
2,100000,1000,1.3995586328,0.660837
2,100000,10000,1.3995592845,7.034462
2,100000,100000,1.3995592910,66.261725
4,1000,1000,1.3995579745,0.006053
4,1000,10000,1.3995586262,0.056430
4,1000,100000,1.3995586328,0.376614
4,10000,1000,1.3995586262,0.049219
4,10000,10000,1.3995592780,0.375581
4,10000,100000,1.3995592845,3.795404
4,100000,1000,1.3995586328,0.374232
4,100000,10000,1.3995592845,3.842024
4,100000,100000,1.3995592910,39.306580
8,1000,1000,1.3995579745,0.005688
8,1000,10000,1.3995586262,0.052868
8,1000,100000,1.3995586328,0.342435
8,10000,1000,1.3995586262,0.033838
8,10000,10000,1.3995592780,0.345985
8,10000,100000,1.3995592845,3.425552
8,100000,1000,1.3995586328,0.336465
8,100000,10000,1.3995592845,3.440152
8,100000,100000,1.3995592910,35.666546
