threads,intervalo_x,intervalo_y,resultado,tempo
1,1000,1000,1.3995579745,0.013309
1,1000,10000,1.3995586262,0.122455
1,1000,100000,1.3995586328,1.309528
1,10000,1000,1.3995586262,0.131734
1,10000,10000,1.3995592780,1.195693
1,10000,100000,1.3995592845,11.930620
1,100000,1000,1.3995586328,1.282837
1,100000,10000,1.3995592845,12.405089
1,100000,100000,1.3995592911,124.963637
2,1000,1000,1.3995579745,0.007259
2,1000,10000,1.3995586262,0.069290
2,1000,100000,1.3995586328,0.655003
2,10000,1000,1.3995586262,0.066352
2,10000,10000,1.3995592780,0.664679
2,10000,100000,1.3995592845,6.651769
2,100000,1000,1.3995586328,0.747323
2,100000,10000,1.3995592845,7.098611
2,100000,100000,1.3995592910,73.543547
4,1000,1000,1.3995579745,0.006185
4,1000,10000,1.3995586262,0.057564
4,1000,100000,1.3995586328,0.422536
4,10000,1000,1.3995586262,0.060135
4,10000,10000,1.3995592780,0.407500
4,10000,100000,1.3995592845,4.117249
4,100000,1000,1.3995586328,0.514545
4,100000,10000,1.3995592845,4.462179
4,100000,100000,1.3995592910,44.357984
8,1000,1000,1.3995579745,0.009877
8,1000,10000,1.3995586262,0.036830
8,1000,100000,1.3995586328,0.380270
8,10000,1000,1.3995586262,0.056393
8,10000,10000,1.3995592780,0.375733
8,10000,100000,1.3995592845,3.737776
8,100000,1000,1.3995586328,0.385042
8,100000,10000,1.3995592845,3.859383
8,100000,100000,1.3995592910,40.059477
