threads,intervalo_x,intervalo_y,resultado,tempo
1,1000,1000,1.3995579745,0.013300
1,1000,10000,1.3995586262,0.121248
1,1000,100000,1.3995586328,1.232850
1,10000,1000,1.3995586262,0.123395
1,10000,10000,1.3995592780,1.182704
1,10000,100000,1.3995592845,11.754971
1,100000,1000,1.3995586328,1.190778
1,100000,10000,1.3995592845,11.743762
1,100000,100000,1.3995592911,117.290980
2,1000,1000,1.3995579745,0.006823
2,1000,10000,1.3995586262,0.067963
2,1000,100000,1.3995586328,0.651647
2,10000,1000,1.3995586262,0.066530
2,10000,10000,1.3995592780,0.636278
2,10000,100000,1.3995592845,6.893660
2,100000,1000,1.3995586328,0.626149
2,100000,10000,1.3995592845,6.530445
2,100000,100000,1.3995592910,65.616377
4,1000,1000,1.3995579745,0.029004
4,1000,10000,1.3995586262,0.094786
4,1000,100000,1.3995586328,2.670703
4,10000,1000,1.3995586262,0.087329
4,10000,10000,1.3995592780,0.396344
4,10000,100000,1.3995592845,4.004530
4,100000,1000,1.3995586328,0.467257
4,100000,10000,1.3995592845,3.939471
4,100000,100000,1.3995592910,39.731855
8,1000,1000,1.3995579745,0.028177
8,1000,10000,1.3995586262,0.164419
8,1000,100000,1.3995586328,0.403964
8,10000,1000,1.3995586262,0.066664
8,10000,10000,1.3995592780,0.385343
8,10000,100000,1.3995592845,3.534825
8,100000,1000,1.3995586328,0.391591
8,100000,10000,1.3995592845,3.515746
8,100000,100000,1.3995592910,34.904118
