threads,intervalo_x,intervalo_y,resultado,tempo
1,1000,1000,1.3995579745,0.013996
1,1000,10000,1.3995586262,0.125127
1,1000,100000,1.3995586328,1.515714
1,10000,1000,1.3995586262,0.130470
1,10000,10000,1.3995592780,1.523042
1,10000,100000,1.3995592845,11.876814
1,100000,1000,1.3995586328,1.237676
1,100000,10000,1.3995592845,11.781492
1,100000,100000,1.3995592911,120.152812
2,1000,1000,1.3995579745,0.007996
2,1000,10000,1.3995586262,0.074209
2,1000,100000,1.3995586328,0.700029
2,10000,1000,1.3995586262,0.068425
2,10000,10000,1.3995592780,0.703072
2,10000,100000,1.3995592845,7.421442
2,100000,1000,1.3995586328,0.656783
2,100000,10000,1.3995592845,6.634929
2,100000,100000,1.3995592910,66.258421
4,1000,1000,1.3995579745,0.006000
4,1000,10000,1.3995586262,0.156243
4,1000,100000,1.3995586328,2.628575
4,10000,1000,1.3995586262,0.065763
4,10000,10000,1.3995592780,0.422789
4,10000,100000,1.3995592845,4.119202
4,100000,1000,1.3995586328,0.416104
4,100000,10000,1.3995592845,4.063395
4,100000,100000,1.3995592910,40.585636
8,1000,1000,1.3995579745,0.029035
8,1000,10000,1.3995586262,0.229103
8,1000,100000,1.3995586328,0.398917
8,10000,1000,1.3995586262,0.081018
8,10000,10000,1.3995592780,0.384258
8,10000,100000,1.3995592845,3.648445
8,100000,1000,1.3995586328,0.402993
8,100000,10000,1.3995592845,3.864195
8,100000,100000,1.3995592910,37.385100
